token,allocation,timestamp
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,3.0,2025-01-03 06:31:57.401827
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7.0,2025-01-03 06:31:57.401835
