timestamp,btc_oi,eth_oi,total_oi,btc_change_pct,eth_change_pct,total_change_pct
2025-01-09 07:52:52.092113,8759053522.98189,5481597538.463054,14240651061.444942,1.3424157652279076,-0.9754388244968432,0.4374828570635895
2025-01-09 08:03:07.358006,8726374914.213394,5512324470.922256,14238699385.13565,-0.37308378905042483,0.5605470347576461,-0.013704965460292732
2025-01-09 08:13:19.021002,8692689980.73482,5496742234.860071,14189432215.59489,-0.3860129069599017,-0.2826799500715576,-0.34600891702364345
2025-01-09 08:23:30.133065,8750581350.992773,5554557215.438228,14305138566.431,0.6659776247197984,1.0518044708645182,0.8154403155676809
2025-01-09 08:33:41.930485,8663005518.850273,5490109363.054108,14153114881.90438,-1.0008001597809755,-1.1602698448221018,-1.0627208105719697
2025-01-09 08:43:53.010189,8667911996.392351,5471977457.718524,14139889454.110874,0.05663712820454477,-0.33026492072458535,-0.09344535039714923
2025-01-09 08:53:53.035137,8633685640.944073,5494920343.513602,14128605984.457676,-0.3948627473666517,0.41927961093326654,-0.0797988533773
2025-01-09 09:04:04.055578,8751387511.957558,5500003003.510148,14251390515.467705,1.3632865025256413,0.0924974281482632,0.8690491556286536
2025-01-09 09:14:15.336674,8755539992.691603,5577027074.995589,14332567067.687191,0.04744939849105344,1.4004368986032154,0.5696044335560204
2025-01-09 09:24:15.366052,8657269886.618742,5521555198.541954,14178825085.160696,-1.122376302945203,-0.9946495813574491,-1.0726758284153204
2025-01-09 09:34:25.965807,8737045730.990427,5523119579.656772,14260165310.647198,0.921489631448269,0.028332255289790755,0.573673946874702
2025-01-09 09:44:37.257101,8646582274.826433,5503589217.84029,14150171492.666723,-1.0354009690382946,-0.35361106227751243,-0.7713362053267979
2025-01-09 09:54:49.255652,8670868989.267979,5489031689.590573,14159900678.858551,0.2808822453728749,-0.26450971672317874,0.06875666628400857
2025-01-09 10:05:04.724461,8614181234.752884,5546567495.327539,14160748730.080423,-0.65377247177022,1.0481959112401795,0.005989104310163087
2025-01-09 10:15:15.877340,8600764468.168282,5505827514.427597,14106591982.595879,-0.15575208158465503,-0.7345079805530537,-0.38244268376504964
2025-01-09 10:25:15.858092,8716694926.424217,5499638677.766391,14216333604.190609,1.347908766540442,-0.11240520421297026,0.7779456705781594
2025-01-09 10:35:26.835435,8720925007.09158,5569966081.456481,14290891088.548061,0.0485284927724032,1.278764075436548,0.5244494567535667
2025-01-09 10:45:26.902382,8719569961.069136,5479151633.790248,14198721594.859383,-0.015537870367442572,-1.6304308920043933,-0.6449527402985972
2025-01-09 10:55:26.864011,8762938166.4375,5561248506.188864,14324186672.626364,0.49736633299570215,1.49835007106428,0.8836364381734584
2025-01-09 11:05:30.196483,8692237605.378048,5486631444.159894,14178869049.537941,-0.8068134193875612,-1.3417322017876343,-1.014491268576707
2025-01-09 11:15:41.096896,8652761623.429428,5504346500.596034,14157108124.025463,-0.45415212676877725,0.32287673441226683,-0.15347433872511163
2025-01-09 11:25:50.986369,8691623254.439241,5517269305.241101,14208892559.680344,0.44912402191441536,0.23477454850758175,0.3657839948753321
2025-01-09 11:36:02.384551,8693191399.195595,5487772168.057742,14180963567.253338,0.018042024032190414,-0.5346329053638634,-0.1965599522249754
2025-01-09 11:46:02.453357,8736591361.584078,5495042696.833545,14231634058.417622,0.49924084718184125,0.13248598070673606,0.35731345704386397
2025-01-09 11:56:12.615721,8693547016.937792,5515203423.405401,14208750440.343193,-0.4926903739089545,0.3668893525335824,-0.1607940309629696
2025-01-09 12:06:24.486133,8606392604.328176,5496378259.62902,14102770863.957195,-1.0025184477614353,-0.34133217455753906,-0.745875415512175
2025-01-09 12:16:35.818584,8602874419.392902,5567675024.439862,14170549443.832764,-0.040878740919915973,1.297158991667628,0.48060470193692084
2025-01-09 12:26:35.847403,8622568176.935787,5551236504.664809,14173804681.600597,0.22892066747470433,-0.2952492683731452,0.022971852861008422
2025-01-09 12:36:35.862950,8620430362.995064,5557461227.267469,14177891590.262533,-0.024793239054250505,0.11213218167572984,0.02883423860949018
2025-01-09 12:46:35.895813,8669815686.691236,5489251662.143347,14159067348.834583,0.5728869861088279,-1.2273511651229345,-0.13277179690722501
2025-01-09 12:56:46.652895,8705017910.917437,5528584870.124967,14233602781.042404,0.4060319792061778,0.7165495481448139,0.5264148433756537
2025-01-09 13:06:46.679012,8709942034.31399,5520532245.196387,14230474279.510376,0.056566493566629295,-0.14565436034261894,-0.02197968834844133
2025-01-09 13:16:46.680575,8681385063.148724,5542058971.184805,14223444034.333529,-0.32786637445762556,0.3899393216505311,-0.049402746800715526
2025-01-09 13:26:46.700994,8729950610.325186,5550220542.2737465,14280171152.598932,0.559421645546126,0.14726604555051784,0.3988282874982453
2025-01-09 13:37:04.428526,8732389764.88072,5556285249.32986,14288675014.210579,0.027940072795480633,0.10926965892473757,0.05955013788542013
2025-01-09 13:47:04.457494,8626450407.783274,5487339821.645014,14113790229.428288,-1.2131771479498719,-1.240854718413915,-1.223939830728619
2025-01-09 13:57:15.518210,8698211860.424799,5516143593.4957695,14214355453.920568,0.8318769511128008,0.5249132145441067,0.7125316648294453
2025-01-09 14:07:26.390236,8724501389.705112,5528272455.6295,14252773845.334614,0.30224061798179264,0.21987937638230357,0.27027881453076275
2025-01-09 14:17:26.407591,8754955870.186184,5536785184.655439,14291741054.841623,0.34906843521175523,0.15398533799234845,0.2734008827324845
2025-01-09 14:27:26.428855,8717545743.850822,5511660225.120716,14229205968.971539,-0.42730228330169656,-0.4537824513104501,-0.4375610055494233
