collection_time,tweet_id,created_at,user_name,user_id,text,retweet_count,favorite_count,reply_count,quote_count,language
2025-01-09T10:39:34.623159,1877364583955861782,Thu Jan 09 14:39:31 +0000 2025,Blue00x,1722344718258872320,@SolanaNftadict @solana @solflare_wallet @DeGodsNFT GMGM,0,0,0,0,en
2025-01-09T10:39:34.623178,1877364583884537904,Thu Jan 09 14:39:31 +0000 2025,Fatality Solana,1875166805716770816,@coingecko Morning of course 🎯🙏,0,0,0,0,en
2025-01-09T10:39:34.623187,1877364582433624396,Thu Jan 09 14:39:30 +0000 2025,Solana Captain👮,1739538731969728512,@zappyhireglobal Please send me DM ✉️🚀 I have a good proposal for your project 💕.,0,0,0,0,en
2025-01-09T10:39:34.623195,1877364576771256714,Thu Jan 09 14:39:29 +0000 2025,lontong sayur,410644898,@WHALE__SOLANA Evhvhzyvmb43uFsjbNA9pwXCJmJ9WiZYyU4tdcq3FWDi,0,0,0,0,ht
2025-01-09T10:39:34.623202,1877364561411559501,Thu Jan 09 14:39:25 +0000 2025,Solana Captain👮,1739538731969728512,@zappyhireglobal 𝙃𝙚𝙡𝙡𝙤! 𝙄 𝙖𝙢 𝙞𝙣𝙩𝙚𝙧𝙚𝙨𝙩𝙚𝙙 𝙞𝙣 𝙮𝙤𝙪𝙧 𝙥𝙧𝙤𝙟𝙚𝙘𝙩! 𝙄 𝙬𝙤𝙪𝙡𝙙 𝙡𝙞𝙠𝙚 𝙩𝙤 𝙘𝙤𝙡𝙡𝙖𝙗𝙤𝙧𝙖𝙩𝙚. 𝙋𝙡𝙚𝙖𝙨𝙚 𝙨𝙚𝙣𝙙 𝙢𝙚 𝘿𝙈!📨,0,0,0,0,en
2025-01-09T10:39:34.623210,1877364552024612894,Thu Jan 09 14:39:23 +0000 2025,Solana Army 🪖📈🚀,1835634939192102912,@ALMSOLANA Please Follow back 🔙 let's collaborate 🚀💥,0,0,0,0,en
2025-01-09T10:39:34.623216,1877364540104479134,Thu Jan 09 14:39:20 +0000 2025,Solanacorn,1725023412626554880,@luckyentertains Enjoy your Thursday!,0,0,0,0,en
2025-01-09T10:39:34.623222,1877364537894043854,Thu Jan 09 14:39:20 +0000 2025,Nessa🫧,1598765346122498061,"@0xALTF4 @relaxio_solana @ToshiBet Morning , Embrace the day with open hearts and open minds 💕",0,0,0,0,en
