,Datetime (UTC),Open,High,Low,Close,Volume,MA20,RSI,MA40,Price_above_MA20,Price_above_MA40,MA20_above_MA40
0,2024-12-22 17:15:00,0.7760349291386441,0.7893264107722352,0.7547211075745148,0.7586884905664705,1790454.8062969975,,,,False,False,False
1,2024-12-22 17:30:00,0.7586884905664705,0.75888338448169,0.7381211828124427,0.7554825158421969,1183983.5798910004,,,,False,False,False
2,2024-12-22 17:45:00,0.7554825158421969,0.7584205819324116,0.7292325696731188,0.7427387068067856,1302123.8185029982,,,,False,False,False
3,2024-12-22 18:00:00,0.7427387068067856,0.7499775428495986,0.7368160639985198,0.7437155790302596,1002184.7766010009,,,,False,False,False
4,2024-12-22 18:15:00,0.7437155790302596,0.7672942604509471,0.7387705539505361,0.7636081985085583,700303.080333,,,,False,False,False
5,2024-12-22 18:30:00,0.7636081985085583,0.7751931282565037,0.7636081985085583,0.7715895006480165,655909.480063001,,,,False,False,False
6,2024-12-22 18:45:00,0.7715895006480165,0.7783768471330753,0.7657465658853089,0.7711698429205882,881433.3700949998,,,,False,False,False
7,2024-12-22 19:00:00,0.7711698429205882,0.7711698429205882,0.7428203734353165,0.7449077018183777,801992.345131001,,,,False,False,False
8,2024-12-22 19:15:00,0.7449077018183777,0.7496719095603609,0.7274609320123706,0.7318031537103926,949225.4525399987,,,,False,False,False
9,2024-12-22 19:30:00,0.7318031537103926,0.7351568634636199,0.7135337957230793,0.7240869227804141,2021491.1621469988,,,,False,False,False
10,2024-12-22 19:45:00,0.7240869227804141,0.7342689595266461,0.718381000720972,0.7236091738408786,1397515.4714459982,,,,False,False,False
11,2024-12-22 20:00:00,0.7236091738408786,0.7299156568200047,0.7143398524265503,0.7182737624465496,1511379.6243739978,,,,False,False,False
12,2024-12-22 20:15:00,0.7182737624465496,0.7315559970391269,0.7069188942040909,0.72958273856517,1643753.9617060034,,,,False,False,False
13,2024-12-22 20:30:00,0.72958273856517,0.7329603446183076,0.7201244351361935,0.7286335361979502,740469.1158860014,,,,False,False,False
14,2024-12-22 20:45:00,0.7286335361979502,0.7553230735540964,0.7286335361979502,0.7477016963329881,875431.3899820006,,45.75611521471239,,False,False,False
15,2024-12-22 21:00:00,0.7477016963329881,0.764947262678791,0.7477016963329881,0.7608065175195887,598233.6274410008,,51.08880860603758,,False,False,False
16,2024-12-22 21:15:00,0.7608065175195887,0.7696727922221753,0.7546850153636455,0.7681752792102585,535770.2226519996,,53.836946094077696,,False,False,False
17,2024-12-22 21:30:00,0.7681752792102585,0.7681752792102585,0.7480907137505075,0.757368427229011,857915.309772,,49.44885319005933,,False,False,False
18,2024-12-22 21:45:00,0.757368427229011,0.7613262332444902,0.7398029698065731,0.7486639640443516,1102966.939170999,,46.18364359970596,,False,False,False
19,2024-12-22 22:00:00,0.7486639640443516,0.7486639640443516,0.7014694430363589,0.71803025307528,3058250.6853020107,0.7454317980547045,36.93913447076959,,False,False,False
